USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
TN	47121	01639775	Meigs County	505397668	55738399	195.135	21.521	35.512203	-84.816102                                                                                                                   
TN	47123	01639776	Monroe County	1646647004	43545177	635.774	16.813	35.447818	-84.249705                                                                                                                 
TN	47125	01639777	Montgomery County	1396441787	12068782	539.169	4.66	36.500354	-87.380887                                                                                                               
TN	47127	01648579	Moore County	334684850	3093435	129.223	1.194	35.288888	-86.358684                                                                                                                     
TN	47129	01639778	Morgan County	1352439677	823018	522.18	0.318	36.138697	-84.639262                                                                                                                     
TN	47131	01639779	Obion County	1411148373	27448903	544.847	10.598	36.361892	-89.148078                                                                                                                  
TN	47133	01639780	Overton County	1122721524	3492728	433.485	1.349	36.34485	-85.283076                                                                                                                   
TN	47135	01639781	Perry County	1074228439	20992254	414.762	8.105	35.663752	-87.869326                                                                                                                   
TN	47137	01648580	Pickett County	422113138	29822845	162.979	11.515	36.559364	-85.075741                                                                                                                 
TN	47139	01639782	Polk County	1125622665	19906879	434.605	7.686	35.109437	-84.541112                                                                                                                    
TN	47141	01639783	Putnam County	1038860592	3777708	401.106	1.459	36.14094	-85.49618                                                                                                                     
TN	47143	01639784	Rhea County	817071273	54409427	315.473	21.008	35.60059	-84.949548                                                                                                                     
TN	47145	01639785	Roane County	934370822	88614648	360.763	34.214	35.84725	-84.523929                                                                                                                    
TN	47147	01639786	Robertson County	1233703847	457701	476.336	0.177	36.527509	-86.869354                                                                                                                 
TN	47149	01639787	Rutherford County	1603892832	12406556	619.267	4.79	35.843369	-86.417213                                                                                                               
TN	47151	01639788	Scott County	1378652173	2418741	532.301	0.934	36.435234	-84.50352                                                                                                                     
TN	47153	01652643	Sequatchie County	688550848	498315	265.851	0.192	35.372336	-85.410082                                                                                                                 
TN	47155	01639789	Sevier County	1534538403	13489383	592.489	5.208	35.787822	-83.5249                                                                                                                    
TN	47157	01639790	Shelby County	1969826793	51308328	760.554	19.81	35.184553	-89.894612                                                                                                                  
TN	47159	01639791	Smith County	814020543	28690306	314.295	11.077	36.256645	-85.941915                                                                                                                   
TN	47161	01639792	Stewart County	1190814528	86082696	459.776	33.237	36.458464	-87.811889                                                                                                                
TN	47163	01639793	Sullivan County	1070810025	42124187	413.442	16.264	36.509681	-82.301336                                                                                                               
TN	47165	01639794	Sumner County	1371292904	35631916	529.459	13.758	36.472423	-86.458405                                                                                                                 
