name,population,white_pop,percent_white,pop_div_by_target,pop_div_target_remainder_percent,num_districts_assigned
"Meigs County, Tennessee",12758,11894,0.9322777864869102,0.016614767524642447,0.016614767524642447,0.0
"Montgomery County, Tennessee",220069,137775,0.626053646810773,0.28659627483779104,0.28659627483779104,0.0
"Moore County, Tennessee",6461,6030,0.9332920600526234,0.008414172517378495,0.008414172517378495,0.0
"Obion County, Tennessee",30787,25009,0.8123233832461754,0.040093968316442,0.040093968316442,0.0
"Overton County, Tennessee",22511,21332,0.9476256052596508,0.029316117867003142,0.029316117867003142,0.0
"Pickett County, Tennessee",5001,4829,0.9656068786242752,0.006512811756602671,0.006512811756602671,0.0
"Polk County, Tennessee",17544,16430,0.9365025079799362,0.02284758437469251,0.02284758437469251,0.0
"Rhea County, Tennessee",32870,28987,0.8818679647094615,0.0428066631552749,0.0428066631552749,0.0
"Roane County, Tennessee",53404,48463,0.9074788405362896,0.06954813018388503,0.06954813018388503,0.0
"Rutherford County, Tennessee",341486,226227,0.6624781103764137,0.4447178635303378,0.4447178635303378,0.0
"Scott County, Tennessee",21850,21051,0.9634324942791762,0.02845529631709025,0.02845529631709025,0.0
"Sequatchie County, Tennessee",15826,14585,0.9215847339820548,0.020610229726053562,0.020610229726053562,0.0
"Smith County, Tennessee",19904,18192,0.9139871382636656,0.025921016837316447,0.025921016837316447,0.0
"Sullivan County, Tennessee",158163,144395,0.91295056365901,0.2059759739771142,0.2059759739771142,0.0
"Sumner County, Tennessee",196281,158075,0.8053504924062951,0.25561711745605453,0.25561711745605453,0.0
"Trousdale County, Tennessee",11615,8883,0.7647869134739561,0.015126236463295344,0.015126236463295344,0.0
"Unicoi County, Tennessee",17928,16386,0.9139892904953146,0.023347668300814372,0.023347668300814372,0.0
"Van Buren County, Tennessee",6168,5890,0.954928664072633,0.008032598063332388,0.008032598063332388,0.0
"Warren County, Tennessee",40953,34794,0.8496080873196102,0.05333316933976188,0.05333316933976188,0.0
"Wayne County, Tennessee",16232,14595,0.8991498275012322,0.021138964293776156,0.021138964293776156,0.0
"Weakley County, Tennessee",32902,28113,0.8544465382043644,0.04284833681578506,0.04284833681578506,0.0
"Williamson County, Tennessee",247726,203600,0.8218757821141099,0.3226140382355835,0.3226140382355835,0.0
"Wilson County, Tennessee",147737,120782,0.817547398417458,0.19239817446214932,0.19239817446214932,0.0
"Bedford County, Tennessee",50237,37996,0.7563349722316222,0.06542374009527062,0.06542374009527062,0.0
"Blount County, Tennessee",135280,119367,0.8823698994677706,0.1761753998066805,0.1761753998066805,0.0
"Cannon County, Tennessee",14506,13187,0.9090721080932028,0.018891191230009666,0.018891191230009666,0.0
"Cheatham County, Tennessee",41072,36788,0.8956953642384106,0.05348814326478402,0.05348814326478402,0.0
"Clay County, Tennessee",7581,7247,0.9559424877984436,0.009872750635233922,0.009872750635233922,0.0
"Crockett County, Tennessee",13911,10240,0.7361081158795199,0.01811632160489897,0.01811632160489897,0.0
"Decatur County, Tennessee",11435,10565,0.9239177962396152,0.014891822122925722,0.014891822122925722,0.0
"Jackson County, Tennessee",11617,10863,0.93509511922183,0.01512884106707723,0.01512884106707723,0.0
"Knox County, Tennessee",478971,379510,0.7923444216873256,0.6237648390065462,0.6237648390065462,0.0
"Lawrence County, Tennessee",44159,40717,0.922054394347698,0.05750834920212304,0.05750834920212304,0.0
