name,population,white_pop,percent_white,pop_div_by_target,pop_div_target_remainder_percent,num_districts_assigned
"Shelby County, Tennessee",929744,326077,0.3507169715534599,1.2108073692923003,0.21080736929230018,1.0
"Davidson County, Tennessee",715884,400622,0.5596185974263987,0.9322970868953702,0.9322970868953702,1.0
